--------------------------------	
Land-atmosphere d13C fractionation	
Using CO2 from CMIP6-Meinshausen and SSP1-2.6
	
frac is following schubert & jahren 2015, shifted 
to be -17 per mil in 1850
	
HDG 13 Nov 18
--------------------------------	
1850.50000000000	-17
1851.50000000000	-17.0025508246512
1852.50000000000	-17.0053466916778
1853.50000000000	-17.0078740951330
1854.50000000000	-17.0100585073580
1855.50000000000	-17.0118623121266
1856.50000000000	-17.0139125708475
1857.50000000000	-17.0168524863179
1858.50000000000	-17.0199794069298
1859.50000000000	-17.0233124064613
1860.50000000000	-17.0269833867684
1861.50000000000	-17.0306511172903
1862.50000000000	-17.0338063574336
1863.50000000000	-17.0370339138222
1864.50000000000	-17.0402595203950
1865.50000000000	-17.0435003221779
1866.50000000000	-17.0466452171852
1867.50000000000	-17.0499195787884
1868.50000000000	-17.0527404369746
1869.50000000000	-17.0549954366449
1870.50000000000	-17.0574364007541
1871.50000000000	-17.0600461112939
1872.50000000000	-17.0632343093905
1873.50000000000	-17.0669073031257
1874.50000000000	-17.0706709795565
1875.50000000000	-17.0749730604586
1876.50000000000	-17.0792527236197
1877.50000000000	-17.0835826070777
1878.50000000000	-17.0880769740152
1879.50000000000	-17.0923233027598
1880.50000000000	-17.0969567159350
1881.50000000000	-17.1019188768848
1882.50000000000	-17.1071534922513
1883.50000000000	-17.1116775615071
1884.50000000000	-17.1162880791674
1885.50000000000	-17.1215592963816
1886.50000000000	-17.1271571331721
1887.50000000000	-17.1329486236601
1888.50000000000	-17.1393774245319
1889.50000000000	-17.1458141367335
1890.50000000000	-17.1521482509510
1891.50000000000	-17.1587112335179
1892.50000000000	-17.1651352837659
1893.50000000000	-17.1708014054552
1894.50000000000	-17.1765320562677
1895.50000000000	-17.1817814711561
1896.50000000000	-17.1869875536779
1897.50000000000	-17.1920955904512
1898.50000000000	-17.1976876423463
1899.50000000000	-17.2039604224283
1900.50000000000	-17.2107472762301
1901.50000000000	-17.2167469097822
1902.50000000000	-17.2224855822563
1903.50000000000	-17.2284134738479
1904.50000000000	-17.2338114275600
1905.50000000000	-17.2398311899001
1906.50000000000	-17.2465232046203
1907.50000000000	-17.2543305016639
1908.50000000000	-17.2618371737588
1909.50000000000	-17.2692951172268
1910.50000000000	-17.2771475439437
1911.50000000000	-17.2851803065677
1912.50000000000	-17.2944729019680
1913.50000000000	-17.3043267837246
1914.50000000000	-17.3133099915612
1915.50000000000	-17.3224317297784
1916.50000000000	-17.3320586109750
